Index,Batch_ID,Question_ID,Table_ID,Question,Gold_Answer,Qwen_Answer,Exact_Match,LLM_Judge,Status,Num_Iterations,Total_Latency_Sec,Avg_Latency_Per_Step,API_Call_Count,Input_Tokens,Output_Tokens,Total_Tokens
14,,0bf187132a85c932,List_of_Games_for_Windows_titles_5,The game released on 2011-05-17 developed by TopWare Interactive was subject to a lawsuit by what company ?,Interplay Entertainment,": The game released on 2011-05-17 developed by TopWare Interactive, *Battle vs. Chess*, was subject to a lawsuit by Interplay Entertainment.",0,NOT_RUN,SUCCESS,2,10.5842,5.2921,4,3918,254,4172
15,,0c944b369522fcc5,List_of_highways_in_Ontario_0,At what Bay does the route end whose highway was first established in early 1922 between Highway 2 in Whitby and Lindsay ?,Georgian,": The route ends at Sturgeon Bay. Highway 12 was first established in early 1922 between Highway 2 in Whitby and Lindsay, and it runs through the area near Sturgeon Bay.",0,NOT_RUN,SUCCESS,2,10.5597,5.2798,4,5675,362,6037
16,,0cb0ab2f72ef5e91,List_of_film_spoofs_in_Mad_4,Which noble families are referenced by the title of the movie parodied by The Gore of the Roses ?,Houses of York and Lancaster,: The noble families referenced by the title of the movie parodied by *The Gore of the Roses* are the House of Lancaster and the House of York.,0,NOT_RUN,SUCCESS,3,15.8633,5.2878,7,8179,441,8620
17,,0ccec805fd3393f1,List_of_National_Treasures_of_Japan_(writings__Japanese_books)_0,Which author of the Kamakura period treasures died more recently ?,Fujiwara no Teika,": The only author of a national treasure from the Kamakura period listed in the table is Fujiwara no Teika, and he is therefore the one who died more recently.",0,NOT_RUN,SUCCESS,2,12.3213,6.1607,4,7727,545,8272
18,,0d154cd21fb97011,Big_East_Men's_Basketball_Tournament_0,How many MVP where born after 1970 and venue was Madison Square Garden ?,6,: Insufficient information to determine how many MVPs were born after 1970 and played at Madison Square Garden.,0,NOT_RUN,SUCCESS,2,12.697,6.3485,4,4344,665,5009
19,,0db3fd75f85b7890,2001_French_Grand_Prix_0,Which publication 's ranking put the person who finished the qualifying round of the French Grand Prix in 1:13.625 in 2001 at 30th out of all F1 drivers ?,Times Online 's,": The publication whose ranking put Juan Pablo Montoya, who finished the qualifying round of the French Grand Prix in 1:13.625 in 2001, at 30th out of all F1 drivers is Times Online.",0,NOT_RUN,SUCCESS,3,22.1455,7.3818,7,8186,1113,9299
20,,0f6ee27f144efa9d,List_of_disasters_in_the_United_States_by_death_toll_1,What type of disaster hit the state whose name originates from the Ojibwe word mishigamaa ?,Wildfire,": The type of disaster that hit Michigan, a state whose name originates from the Ojibwe word *mishigamaa*, was a stampede. This refers to the Italian Hall Disaster in Calumet, Michigan, in 1913.",0,NOT_RUN,SUCCESS,3,16.1546,5.3849,7,7054,461,7515
21,,0f774ac4950905c4,List_of_doping_cases_in_athletics_2,Which of the athletes from the country whose capital is Rabat was sanctioned for using a medication which is derived from DHT ?,Mouhcine Cheaouri,: None.,0,NOT_RUN,SUCCESS,3,14.6198,4.8733,7,6516,339,6855
22,,0fb72fb371fb412a,List_of_doping_cases_in_athletics_3,Whose violation was the first one to occur in the 21st century ?,Tony Dees,: Tony Dees,1,NOT_RUN,SUCCESS,2,13.1523,6.5762,4,4394,699,5093
23,,0fc111b7dae010c3,1989_NCAA_Women's_Division_I_Basketball_Tournament_2,Which sects first settled the city which houses Rutgers University ?,Quakers and Baptists,": The Dutch and Swedes were the first European settlers in New Brunswick, New Jersey.",0,NOT_RUN,SUCCESS,3,15.8351,5.2784,7,10186,478,10664
24,,10b2ec11023e43fd,List_of_Core_Based_Statistical_Areas_0,What is the 2010 Census of the Core-based statistical area that is home to more than 400 major corporate headquarter ?,"9,461,105",: Insufficient information available to determine the 2010 Census value for a Core-based Statistical Area with more than 400 major corporate headquarters.,0,NOT_RUN,SUCCESS,2,10.8989,5.4494,4,5595,370,5965
25,,10c33f7afdcf8732,2001_Brazilian_Grand_Prix_0,What is the nationality of the driver that finished second at the 2001 Brazilian Grand Prix ?,German,: The nationality of the driver that finished second at the 2001 Brazilian Grand Prix is German.,0,NOT_RUN,SUCCESS,2,10.3495,5.1748,4,4313,204,4517
26,,115e479314168a9d,List_of_Washington_Redskins_players_5,What were the core subjects of the university attended by Fred Felber at the time of its establishment ?,liberal arts,": The university Fred Felber attended was the University of North Dakota. However, the specific core subjects at the time of its establishment are not available in the provided data and are listed as a placeholder (""Core subjects at establishment"").",0,NOT_RUN,SUCCESS,2,9.6473,4.8236,4,3360,290,3650
27,,145825860ef076ea,Bela_Shende_0,Who is the director of the most recent film to feature one of Shende 's songs ?,Gautham,": The director of the most recent film to feature one of Shende's songs, *Neethaane En Ponvasantham*, is Ilaiyaraja.",0,NOT_RUN,SUCCESS,3,14.9726,4.9909,7,6706,278,6984
28,,14cf3e3f6de12822,List_of_oldest_trees_1,What is the population of the location that contains a tree on the list that is a registered natural monument of the country ?,over one million people,: No such location can be determined from the provided information.,0,NOT_RUN,SUCCESS,2,10.0276,5.0138,4,4906,296,5202
29,,163108f5737380d0,List_of_Washington_Redskins_players_1,What year did the university attended by Kentwan Balmer first start ending the practice of racially segregating students ?,1951,": The University of North Carolina, which Kentwan Balmer attended, first started ending the practice of racially segregating students in 1951 when African-American graduate students were admitted under Chancellor Robert Burton House.",0,NOT_RUN,SUCCESS,2,9.3339,4.6669,4,3341,209,3550
30,,174f991d704c85a5,National_Register_of_Historic_Places_listings_in_Itasca_County_Minnesota_0,What historic place is located in a city where U.S . Highways 2 and 169 are two of the main roads ?,Frank Gran Farmstead,: There is no confirmed historic place in the provided information located in a city where both U.S. Highway 2 and U.S. Highway 169 are main roads.,0,NOT_RUN,SUCCESS,2,12.1818,6.0909,4,8902,513,9415
31,,175db44dc00c3811,List_of_offshore_wind_farms_0,"What is the capacity in MW of the wind farm that was built in three phases , with the first coming online in 2002 , the second in 2009 and the third in 2019 ?",407,": The wind farm described, with three phases coming online in 2002, 2009, and 2019, is Horns Rev. Although the total capacity of the entire project is not explicitly stated in the provided content, based on external knowledge, the total capacity of Horns Rev (including all three phases) is 288 MW.",0,NOT_RUN,SUCCESS,2,30.6741,15.337,4,9733,3232,12965
32,,17b20c1ca147dd86,129th_Ohio_General_Assembly_1,How many Democrats were born in the month of June ?,3,: 1,0,NOT_RUN,SUCCESS,2,10.033,5.0165,4,3612,256,3868
33,,18221d53742114c3,List_of_Linux_distributions_endorsed_by_the_Free_Software_Foundation_1,Who sponsors the distribution that is in-progress and using binary blobs ?,Red Hat Inc.,": The distribution that is in-progress with reproducible builds and uses binary blobs is Fedora. Therefore, Fedora is sponsored by the Free Software Foundation.",0,NOT_RUN,SUCCESS,2,9.2854,4.6427,4,3380,215,3595
34,,1924aad25d32e0aa,List_of_Games_for_Windows_titles_4,"What is the release date of the game that features a number of new features and improvements to its predecessor , including multiplayer options ?",2010-09-28,": The release date of the game that features a number of new features and improvements to its predecessor, including multiplayer options, is November 14, 2018. This refers to Fallout 76, which introduced multiplayer gameplay and significant enhancements over previous Fallout titles.",0,NOT_RUN,SUCCESS,2,11.3696,5.6848,4,3976,412,4388
35,,1ac08e09d0fd7af9,1998_British_Grand_Prix_0,What is the nickname of the driver who finished with a time of 1:23.271 in the qualifying round of the 1998 British Grand Prix ?,The Flying Finn,": The nickname of the driver who finished with a time of 1:23.271 in the qualifying round of the 1998 British Grand Prix is ""The Flying Finn"".",0,NOT_RUN,SUCCESS,2,11.0323,5.5161,4,4139,301,4440
36,,1ac9822f92cc06aa,Metropolitan_areas_of_Mexico_0,How many boroughs does the 10th most populated metro area have ?,Seven,": The 10th most populated metropolitan area in Mexico, Greater Querétaro, has 7 boroughs.",0,NOT_RUN,SUCCESS,3,16.8119,5.604,7,7843,487,8330
37,,1ae4ed2018014fae,Turboprop_0,How many employees work for the company that is located in a country where there are ten provinces and three territories ?,"6,000",": The company located in Canada, which has ten provinces and three territories, has 5 entries in the table. Therefore, 5 companies are associated with Canada in this dataset.",0,NOT_RUN,SUCCESS,3,15.2514,5.0838,7,8715,348,9063
38,,1b7e153ef76e90e2,British_Junior_Open_Squash_1,The squash player that won the 2019 CIB Egyptian Tour had previously won the Under-15 British Junior Open Squash title the same year the Under-19 title winner was a player that would go on to win a gold medal in what games ?,2019 Pan American Games,": The information required to answer the query is not available in the provided table or content. Specifically, there is no record of the Under-15 British Junior Open Squash title winner in 2019, nor any details about the CIB Egyptian Tour winner in 2019 or the gold medal-winning games associated with the Under-19 title winner from that year. Thus, the query cannot be answered with the given data.",0,NOT_RUN,SUCCESS,2,10.4817,5.2409,4,4131,388,4519
39,,1bbddc275723dbf6,List_of_female_United_States_Cabinet_Secretaries_0,What was the major education bill of the president who appointed Gale Norton ?,No Child Left Behind Act,: The provided materials do not contain information about the major education bill of President George W. Bush.,0,NOT_RUN,SUCCESS,3,15.3821,5.1274,7,6303,506,6809
40,,1bcc36801ece09e6,List_of_highways_in_Ontario_1,Along what river is the town that the route which was redesignated as Leeds and Grenville County Road 32 goes to located ?,Saint Lawrence,": The route that was redesignated as Leeds and Grenville County Road 32 is Highway 32, which went to the town of Seeleys Bay. Seeleys Bay is located along the Rideau River.",0,NOT_RUN,SUCCESS,3,17.19,5.73,7,7834,690,8524
41,,1c95b268b15c5687,List_of_National_Historic_Landmarks_in_Alabama_0,What people founded the place in Elmore ?,French,: The French colonists founded the place in Elmore County.,0,NOT_RUN,SUCCESS,2,10.9379,5.469,4,9961,296,10257
42,,1e911a9dd9d2677f,List_of_submissions_to_the_64th_Academy_Awards_for_Best_Foreign_Language_Film_0,what country submitted a not nominated film that had a director who born 1944 ?,Cuba,: There is no country that submitted a film which was not nominated and had a director born in 1944.,0,NOT_RUN,SUCCESS,2,15.7312,7.8656,4,4521,950,5471
43,,1f7e1ba710ad54f2,List_of_libraries_in_Barcelona_0,For whom was this neighborhood constructed in the 18th century located in the district whose name means old city in Catalan ?,the Ribera neighborhood,": The neighborhood constructed in the 18th century located in the district whose name means ""old city"" in Catalan is Barri Gòtic.",0,NOT_RUN,SUCCESS,2,11.3908,5.6954,4,4365,637,5002
44,,20dc9f942c897dc4,2009_AFL_Draft_2,How many kilograms does the player recruited from the club nicknamed The Double Blues weigh ?,88,": The provided table and materials do not contain information about the weight of any player recruited from a club nicknamed ""The Double Blues."" Additionally, no player in the 2009 AFL Draft was recruited from Sturt Football Club (nicknamed ""The Double Blues""), as confirmed by the data. Therefore, the requested weight cannot be determined.",0,NOT_RUN,SUCCESS,2,10.8182,5.4091,4,3491,485,3976
45,,22611a9d70bd5177,1991_College_Baseball_All-America_Team_0,Which player attended the school with athletic teams called Rainbow Warriors and Rainbow Wāhine ?,Bill Blanchette,": Bill Blanchette attended the University of Hawaii at Manoa, which has athletic teams called Rainbow Warriors and Rainbow Wāhine.",0,NOT_RUN,SUCCESS,3,16.1526,5.3842,7,5136,325,5461
46,,226e3e5cd7ec9f29,List_of_museums_in_the_San_Francisco_Bay_Area_4,What is the state population rank of the Bay Area city which contains the Charles M. Schulz Museum and Research Center ?,28th,": The Bay Area city that contains the Charles M. Schulz Museum and Research Center is Santa Rosa, California. Santa Rosa ranks 28th in population among cities in the state of California.",0,NOT_RUN,SUCCESS,3,16.4537,5.4846,7,6612,503,7115
47,,237f9bbf883540da,"List_of_county_routes_in_Wayne_County,_New_York_1","What is the name of the route that goes via the location whose population was 9,449 at the 2010 census ?",CR 202,": The provided information does not contain a location with a population of 9,449 at the 2010 census. Therefore, the route associated with such a location cannot be determined from the given data.",0,NOT_RUN,SUCCESS,2,13.5545,6.7773,4,4785,752,5537
48,,248995baa9d16235,Eurosong_(Belgium)_4,What is the song title of the artist who is known for his participation in the Eurovision Song Contests of 1967 and 1969 ?,Ik heb zorgen,": The song titles of the artist who participated in the Eurovision Song Contests of 1967 and 1969 are ""Ik heb zorgen"" and ""Jennifer Jennings"".",0,NOT_RUN,SUCCESS,2,10.4093,5.2046,4,3457,241,3698
49,,24ea477679de12dd,List_of_National_Football_League_rushing_yards_leaders_0,What is the month of birth of the player with the fourth most National Football League career rushing yards ?,July,": The month of birth of Barry Sanders, the player with the fourth most National Football League career rushing yards, is July.",0,NOT_RUN,SUCCESS,3,15.1782,5.0594,7,8692,349,9041
50,,262972a04afab0e9,2004_German_Grand_Prix_0,What is the position of the driver that earned the CART Championship in 2002 ?,15,": The position of the driver who earned the CART Championship in 2002, Cristiano da Matta, in the 2004 German Grand Prix was 18th.",0,NOT_RUN,SUCCESS,2,12.4578,6.2289,4,3872,523,4395
51,,27af70f4003ec1a7,List_of_parasites_of_humans_0,"What is the shape of the parasite that can affect the human eye , brain , and skin and is often transmitted by thin lens placed directly on the surface of the eye ?",Amoeboid,": The parasite that can affect the human eye, brain, and skin and is often transmitted by contact lenses cleaned with contaminated tap water is Acanthamoeba spp. This parasite typically has a spherical or oval shape with spike-like projections called acanthopodia.",0,NOT_RUN,SUCCESS,2,11.1731,5.5865,4,5251,438,5689
52,,291549462c89ca02,List_of_television_show_spoofs_in_Mad_5,An author with 19 names penned a parody of a gameshow developed for the U.S. by Michael Davies that was originally hosted in American by what person ?,by Regis Philbin,": The person who originally hosted the game show developed for the U.S. by Michael Davies, which is parodied in the table, cannot be determined from the provided information. There is no evidence in the content that Michael Davies developed a U.S. game show, and none of the shows listed in the table match this description. However, based on general knowledge, *The Price Is Right* is a major U.S. game show originally hosted by Bill Cullen, though it was not developed by Michael Davies. Therefore, the query contains inconsistencies, and no definitive answer can be derived from the given materials.",0,NOT_RUN,SUCCESS,2,17.0424,8.5212,4,5807,1407,7214
53,,2a61bfaecf11277a,All-Ireland_Senior_Football_Championship_records_and_statistics_0,"Where was the organization , who won the third staging of the championship , founded ?",Hayes ' Hotel,": The county of Wexford, which won the All-Ireland Senior Football Championship in 1917 and 1918, is located in County Wexford, Ireland. However, it did not win the third staging of the championship (1889); Tipperary won that year. There is no information in the provided materials about where Wexford was ""founded.""",0,NOT_RUN,SUCCESS,3,24.9949,8.3316,7,11365,1354,12719
54,,2a696a65b9c1023b,List_of_year-end_number-one_singles_(New_Zealand)_0,How many times did the musicians with the song If You Do n't Know Me by Now make the top ten singles of the United Kingdom ?,ten,": There is insufficient information in the provided materials to determine how many times the musicians with the song ""If You Don't Know Me by Now"" (Harold Melvin & the Blue Notes) made the UK Top 10 singles.",0,NOT_RUN,SUCCESS,2,11.403,5.7015,4,3649,508,4157
55,,2a6c741b24e33e1b,2001_Japanese_Grand_Prix_0,Who is the older brother of the driver with a lap time of 1:33.297 ?,Michael Schumacher,": The older brother of the driver with a lap time of 1:33.297, Ralf Schumacher, is Michael Schumacher.",0,NOT_RUN,SUCCESS,3,19.2923,6.4308,7,8487,788,9275
56,,2a7b07f9bb25ec05,List_of_National_Natural_Landmarks_in_California_0,What was the former name of the most recent landmark ?,Chalk Cave and Baird Cave,": The former name of the most recent landmark, Lake Shasta Caverns, was Chalk Cave and Baird Cave.",0,NOT_RUN,SUCCESS,3,16.2222,5.4074,7,12194,259,12453
57,,2b0d72fe39e8be37,List_of_Brazilian_states_by_highest_point_0,"What kind of syenite makes up the mountaintop in Brazil 2,798 meters above sea level ?",nepheline,": The mountaintop of Pedra da Mina, which is 2,798 meters above sea level in Brazil, is composed of highly alkaline nepheline syenite.",0,NOT_RUN,SUCCESS,3,17.0673,5.6891,7,6712,303,7015
58,,2c9d29d60efd9722,2009_Universitario_de_Deportes_season_0,what is the age the player born 28 October 1973 ?,46,: The player born on 28 October 1973 is 51 years old.,0,NOT_RUN,SUCCESS,2,9.8891,4.9445,4,3367,314,3681
59,,2d9eb0c86f3deaf9,List_of_microcars_by_country_of_origin__J_0,What is the higher engine make/capacity value of a vehicle made in the largest city in Japan 's Chūbu region ?,354 cc,": The higher engine make/capacity value of a vehicle made in Nagoya, the largest city in Japan's Chūbu region, is 354 cc.",0,NOT_RUN,SUCCESS,3,15.1968,5.0656,7,6542,253,6795
60,,2edb791a4ecfa7b8,Goalkeeper_(association_football)_0,To what team did the athlete go who was from the team that was founded on 30 November 1896 as a sports club ?,Internazionale,": The team founded on 30 November 1896 as a sports club is Hannover 96. However, there is no information available about a player who transferred from Hannover 96 to another team in the provided data. Therefore, it is not possible to determine to which team the athlete went.",0,NOT_RUN,SUCCESS,3,17.5827,5.8609,7,6946,709,7655
61,,2f0b19f81b97eb5a,List_of_the_largest_cannon_by_caliber_2,Which ship had the cannon with a caliber of less than 412.8 but more than 406 millimeters which was salvaged in the seventies ?,Mutsu,: No such ship exists in the provided data.,0,NOT_RUN,SUCCESS,2,14.2818,7.1409,4,4601,876,5477
62,,2f319646582b93ba,List_of_Christian_religious_houses_in_Denmark_0,What was the order of the religious people who lived at the building that was part of the largest medieval hospital in Denmark which King Christian I turned into an Augustinian priory 1497 ?,Order of the Holy Ghost,": The order of the religious people who lived at the building that was part of the largest medieval hospital in Denmark, which King Christian I turned into an Augustinian priory in 1497, was Augustinian canons.",0,NOT_RUN,SUCCESS,2,12.5206,6.2603,4,4992,684,5676
63,,2f82321b166609ee,List_of_Hong_Kong_submissions_for_the_Academy_Award_for_Best_Foreign_Language_Film_0,What is the Chinese title of the film whose director was born on 7 March 1926 ?,梁山伯与祝英台,: The information required to determine the Chinese title of the film whose director was born on 7 March 1926 is not available in the provided materials.,0,NOT_RUN,SUCCESS,2,10.0735,5.0367,4,4004,236,4240
64,,2f86a9a113cadad1,2004_Canadian_Grand_Prix_0,How many total championship points did the constructor win whose driver won the 2008 FIA GT Championship ?,38,: 0,0,NOT_RUN,SUCCESS,2,27.3069,13.6534,4,6520,2937,9457
65,,311756ad4d081893,2013_AFL_Draft_1,"During the AFL 2013 draft , the 4th pick drafted by Western Bulldogs was born in what month ?",November,": The birth month of Marcus Bontempelli, the player drafted by Western Bulldogs with the 4th pick in the AFL 2013 draft, cannot be determined from the provided information.",0,NOT_RUN,SUCCESS,2,10.4336,5.2168,4,3685,265,3950
66,,3177bdd8b935e45f,List_of_the_busiest_airports_in_Canada_8,"What highway passes by the airport in Canada that had 168,889 airplanes move in a year ?",Highway 2,": The highway that passes by Edmonton International Airport in Canada, which had 168,889 aircraft movements in a year, is Highway 2.",0,NOT_RUN,SUCCESS,3,16.738,5.5793,7,6933,525,7458
67,,31fe5d56fd5bd58b,List_of_tallest_dams_in_the_world_0,What kind of dam is the tallest dam in Europe ?,Gravity,": The tallest dam in Europe is the Grande Dixence Dam, which is a concrete gravity dam.",0,NOT_RUN,SUCCESS,2,10.6256,5.3128,4,4467,286,4753
68,,335a4f26c9cb0ad1,Bowl_Coalition_0,What city contains the home stadium of the winner of the 1993 John Hancock Bowl ?,"Norman , Oklahoma",": The city that contains the home stadium of the winner of the 1993 John Hancock Bowl, which was Oklahoma, is Oklahoma City.",0,NOT_RUN,SUCCESS,3,15.025,5.0083,7,6634,341,6975
69,,3466895fac665976,Media_in_Winnipeg_1,The owner of Dufferin Communications is a radio broadcasting company that operates an AM station that is the only what in Manitoba ?,multilingual radio station,: The statement is incorrect — Dufferin Communications does not operate the only AM station in Manitoba.,0,NOT_RUN,SUCCESS,2,15.0128,7.5064,4,3347,381,3728
70,,34c1bff132375563,"List_of_highways_in_Essex_County,_New_York_1","How long , in kilometers , is the road that is the end of route CR 10A ?",522.59 km,: The road that is the end of route CR 10A is 1.75 kilometers long.,0,NOT_RUN,SUCCESS,2,9.8719,4.936,4,4569,118,4687
71,,35e4463ff9685e93,List_of_the_busiest_airports_in_Latin_America_0,What year did the empire of Portugal establish the city of Santos Dumont Airport ?,1565,": The empire of Portugal did not establish Santos Dumont Airport. The airport is named after Alberto Santos Dumont, a Brazilian aviation pioneer, and was established in the 20th century as part of Brazil's infrastructure development. The Portuguese Empire had long since dissolved by the time the airport was built (it opened in 1936). Therefore, the premise of the question is incorrect—Portugal did not establish the airport.",0,NOT_RUN,SUCCESS,2,9.8265,4.9132,4,3577,227,3804
72,,377926fc8001a4af,2005_French_Grand_Prix_0,What is the team for the racer who was brought in to replace fellow Italian Jarno Trulli ?,Renault,": The provided table and materials do not contain information about who replaced Jarno Trulli or the team they drove for. Therefore, it is not possible to determine the answer based on the given data.",0,NOT_RUN,SUCCESS,2,10.2162,5.1081,4,4053,370,4423
73,,37c8afff3fd003de,"National_Register_of_Historic_Places_listings_in_Ashland_County,_Wisconsin_0",What island do the residents near the Lucerne shipwreck almost exclusively live on ?,Madeline Island,: The residents near the Lucerne shipwreck almost exclusively live on Long Island.,0,NOT_RUN,SUCCESS,3,15.8248,5.2749,7,14735,367,15102
74,,3832ebd26bede85f,"List_of_highways_in_Essex_County,_New_York_1","At the 2010 census , what was the population of the town that is the end of route CR 7 ?","1,163",": The population of Elizabethtown, the town that is the end of route CR 7, according to the 2010 census, was 3,583.",0,NOT_RUN,SUCCESS,3,15.934,5.3113,7,7156,345,7501
75,,3844d089f5469ade,2004_Chinese_Grand_Prix_1,"What Constructor made the vehicle for the Driver who overall won 32 Formula One races , 22 pole positions and 1,899 points from 311 starts ?",Renault,": No driver matches all the given criteria of 32 Formula One races won, 22 pole positions, 1,899 points accumulated, and 311 starts.",0,NOT_RUN,SUCCESS,2,12.4143,6.2072,4,4472,551,5023
76,,38c022dc75b42938,List_of_football_clubs_in_Spain_0,"Of the teams that did not play in the top division last season , the oldest one plays out of a stadium that was originally built to host what event ?",1999 Summer Universiade in Palma,,0,NOT_RUN,OTHER_ERROR,0,0.0,0.0,2,1272,69,1341
77,,3b717fdb94e56f60,List_of_football_stadiums_in_the_Republic_of_Macedonia_0,"What kind of figure was the namesake of the stadium that has the same capacity as the stadium opened in 1981 , but is located in the city known as `` the city under Marko 's Towers '' ?",Revolutionary,": The stadium with a capacity of 15,000 located in Skopje does not exist according to the provided data. However, the main stadium in Skopje, the Toše Proeski National Arena, is named after Toše Proeski, a renowned Macedonian pop singer and national icon. Therefore, the namesake figure of the stadium in Skopje (even though it does not match the 15,000 capacity) is Toše Proeski.",0,NOT_RUN,SUCCESS,5,32.5469,6.5094,13,14528,1379,15907
78,,3be79807167fc64a,List_of_original_programs_distributed_by_Netflix_9,"Which school is featured in the Netflix sport series that debuted on July 29 , 2016 ?",East Mississippi Community College,": The school featured in the Netflix sport series that debuted on July 29, 2016, is East Mississippi Community College.",0,NOT_RUN,SUCCESS,2,9.545,4.7725,4,3890,240,4130
79,,3dc3aaaa06cbfc49,1950_Italian_Grand_Prix_0,What is the total winning percentage for the driver who came in first place ?,46.15%,: 100%,0,NOT_RUN,SUCCESS,2,20.4263,10.2132,4,5999,1589,7588
80,,3e2e553a85a4f7d8,List_of_wind_farms_in_Canada_1,What is the capacity in MWs of the farm belonging to the company based in Edmonton ?,149.4,: No wind farm owned by a company based in Edmonton is found in the dataset.,0,NOT_RUN,SUCCESS,2,10.6891,5.3445,4,3587,269,3856
81,,3e4e61e1b9d43759,List_of_Coventry_Blaze_players_0,How many million square kilometres is the country who had a player whose 2012-13 club 's arena is known locally as the Thunderdome ?,9.98,": The country whose player's 2012-13 club is 'Solihull Barons ( NIHL )' includes both the UK and Canada. The area of the UK is 0.24 million square kilometres, and the area of Canada is 9.98 million square kilometres. Since the query asks for the country whose arena is known locally as the Thunderdome, and no such information about the arena is provided in the table or content, we cannot definitively determine which country corresponds to the Thunderdome. However, based on the players' nationalities, the possible areas are 0.24 million square kilometres (UK) and 9.98 million square kilometres (Canada). Without further clarification, both values are valid based on the data.",0,NOT_RUN,SUCCESS,4,21.8728,5.4682,10,9528,568,10096
82,,3f6961cfd737d696,2001_XFL_Draft_0,What is the city of birth of the number 4 draft pick of the 2001 XFL Draft ?,Louisville,: The city of birth of the player who was the number 4 draft pick in the 2001 XFL Draft is not available in the provided materials.,0,NOT_RUN,SUCCESS,2,12.2273,6.1136,4,3928,577,4505
